"County","stops_per_month","month","total_stops","avg_stops","percent_diff_stops_than_avg","long","lat","group","order","region","hover"
"ADAMS",28.9666666666667,1,222,44.4,53.3,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 222 Percent Difference from Average Month 0.532796317606444 <br>"
"ADAMS",28.9666666666667,2,133,26.6,-8.2,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 133 Percent Difference from Average Month -0.0817031070195626 <br>"
"ADAMS",28.9666666666667,3,134,26.8,-7.5,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 134 Percent Difference from Average Month -0.0747986191024165 <br>"
"ADAMS",28.9666666666667,4,150,30,3.6,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 150 Percent Difference from Average Month 0.0356731875719218 <br>"
"ADAMS",28.9666666666667,5,208,41.6,43.6,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 208 Percent Difference from Average Month 0.436133486766398 <br>"
"ADAMS",28.9666666666667,6,110,22,-24.1,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 110 Percent Difference from Average Month -0.240506329113924 <br>"
"ADAMS",28.9666666666667,7,140,28,-3.3,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 140 Percent Difference from Average Month -0.0333716915995396 <br>"
"ADAMS",28.9666666666667,8,128,25.6,-11.6,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 128 Percent Difference from Average Month -0.116225546605293 <br>"
"ADAMS",28.9666666666667,9,128,25.6,-11.6,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 128 Percent Difference from Average Month -0.116225546605293 <br>"
"ADAMS",28.9666666666667,10,154,30.8,6.3,-89.7824859619141,43.6421928405762,2988,88960,"wisconsin","ADAMS <br> Stops this Month 154 Percent Difference from Average Month 0.0632911392405064 <br>"
